symbol,market,filter,htf,ltf,rr,search_bars,return_pct,maxdd_pct,trades,final_equity
ETHUSDT,Bybit USDT perpetual,HURST_200_055,12h,4h,4.0,50,24.652826537712947,-8.103056377311425,31,12465.282653771294
ETHUSDT,Bybit USDT perpetual,HURST_100_055,12h,4h,4.0,50,23.373262333876312,-8.103056377311407,32,12337.32623338763
ETHUSDT,Bybit USDT perpetual,BASE,12h,4h,4.0,50,22.05377509862243,-8.103056377311438,33,12205.377509862243
ETHUSDT,Bybit USDT perpetual,HURST_200_055,12h,4h,3.5,50,18.215204411298934,-8.54468200274664,31,11821.520441129893
ETHUSDT,Bybit USDT perpetual,HURST_100_055,12h,4h,3.5,50,17.001722550394827,-8.544682002746702,32,11700.172255039482
ETHUSDT,Bybit USDT perpetual,BASE,12h,4h,3.5,50,15.75037945961908,-8.544682002746695,33,11575.037945961909
ETHUSDT,Bybit USDT perpetual,HMM_3STATE,12h,5m,4.0,50,14.695488841709793,-4.0748571736280255,15,11469.54888417098
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,12h,3.5,50,13.09041535679194,-4.026191304635858,14,11309.041535679195
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,12h,4.0,50,11.955181125646796,-4.026191304635838,13,11195.51811256468
ETHUSDT,Bybit USDT perpetual,HURST_100_055,1D,4h,2.0,50,11.713365486574357,-3.015280451787355,24,11171.336548657437
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,4h,2.0,50,11.713365486574357,-3.015280451787355,24,11171.336548657437
ETHUSDT,Bybit USDT perpetual,HMM_3STATE,12h,5m,3.5,50,11.424349715382597,-4.074857173628037,15,11142.43497153826
ETHUSDT,Bybit USDT perpetual,HURST_200_055,12h,4h,3.0,50,10.895083448148156,-8.986307628181898,32,11089.508344814816
ETHUSDT,Bybit USDT perpetual,BASE,1D,4h,2.0,50,10.540490592388041,-3.015280451787353,25,11054.049059238803
ETHUSDT,Bybit USDT perpetual,HURST_100_055,1D,12h,2.5,50,10.521277990866018,-4.026191304635827,14,11052.127799086602
ETHUSDT,Bybit USDT perpetual,HURST_100_055,1D,4h,4.0,50,10.219300557662713,-8.068617409278803,24,11021.930055766272
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,4h,4.0,50,10.219300557662713,-8.068617409278803,24,11021.930055766272
ETHUSDT,Bybit USDT perpetual,HURST_200_055,12h,4h,2.0,50,9.899948527641778,-5.001840076325429,34,10989.994852764177
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,12h,3.0,50,9.856231400943827,-3.145372096717161,14,10985.623140094383
ETHUSDT,Bybit USDT perpetual,HURST_100_055,12h,4h,3.0,50,9.756742801546014,-8.98630762818188,33,10975.674280154602
ETHUSDT,Bybit USDT perpetual,BASE,1D,12h,2.5,50,9.404785401964656,-4.0261913046358515,15,10940.478540196465
ETHUSDT,Bybit USDT perpetual,HMM_2STATE,1h,5m,3.0,50,9.22192108582156,-17.160247316703654,239,10922.192108582156
ETHUSDT,Bybit USDT perpetual,BASE,1D,4h,4.0,50,9.062111801278894,-8.068617409278847,25,10906.21118012789
ETHUSDT,Bybit USDT perpetual,HURST_200_055,12h,4h,2.5,50,8.829702189550236,-6.226008247069327,32,10882.970218955024
ETHUSDT,Bybit USDT perpetual,HURST_100_055,12h,4h,2.0,50,8.771822964464748,-5.001840076325419,35,10877.182296446475
ETHUSDT,Bybit USDT perpetual,BASE,12h,4h,3.0,50,8.582885367852167,-9.427994180323076,34,10858.288536785216
ETHUSDT,Bybit USDT perpetual,HMM_2STATE,1D,30m,2.0,50,8.311944237148317,-2.248316643997923,21,10831.194423714831
ETHUSDT,Bybit USDT perpetual,BASE,1D,15m,3.0,50,8.233893290653004,-11.41078238355253,41,10823.389329065301
ETHUSDT,Bybit USDT perpetual,HURST_100_055,1D,15m,3.0,50,8.233893290653004,-11.41078238355253,41,10823.389329065301
ETHUSDT,Bybit USDT perpetual,HURST_200_055,1D,15m,3.0,50,8.233893290653004,-11.41078238355253,41,10823.389329065301
